place_name,place_id,level,hpi_type,hpi_flavor,frequency,yr,period,date,index_sa
Alabama,AL,State,traditional,purchase-only,quarterly,2000,1,2000-03-01,140.72
Alabama,AL,State,traditional,purchase-only,quarterly,2000,2,2000-06-01,141.46
Alabama,AL,State,traditional,purchase-only,quarterly,2000,3,2000-09-01,142.09
Alabama,AL,State,traditional,purchase-only,quarterly,2000,4,2000-12-01,142.44
Alabama,AL,State,traditional,purchase-only,quarterly,2001,1,2001-03-01,144
Alabama,AL,State,traditional,purchase-only,quarterly,2001,2,2001-06-01,145.04
Alabama,AL,State,traditional,purchase-only,quarterly,2001,3,2001-09-01,146.01
Alabama,AL,State,traditional,purchase-only,quarterly,2001,4,2001-12-01,147.11
Alabama,AL,State,traditional,purchase-only,quarterly,2002,1,2002-03-01,148.06
Alabama,AL,State,traditional,purchase-only,quarterly,2002,2,2002-06-01,149.36
Alabama,AL,State,traditional,purchase-only,quarterly,2002,3,2002-09-01,150.18
Alabama,AL,State,traditional,purchase-only,quarterly,2002,4,2002-12-01,152.87
Alabama,AL,State,traditional,purchase-only,quarterly,2003,1,2003-03-01,153.91
Alabama,AL,State,traditional,purchase-only,quarterly,2003,2,2003-06-01,155.34
Alabama,AL,State,traditional,purchase-only,quarterly,2003,3,2003-09-01,158.2
Alabama,AL,State,traditional,purchase-only,quarterly,2003,4,2003-12-01,158.68
Alabama,AL,State,traditional,purchase-only,quarterly,2004,1,2004-03-01,160.02
Alabama,AL,State,traditional,purchase-only,quarterly,2004,2,2004-06-01,162.6
Alabama,AL,State,traditional,purchase-only,quarterly,2004,3,2004-09-01,165.89
Alabama,AL,State,traditional,purchase-only,quarterly,2004,4,2004-12-01,168.18
Alabama,AL,State,traditional,purchase-only,quarterly,2005,1,2005-03-01,171.2
Alabama,AL,State,traditional,purchase-only,quarterly,2005,2,2005-06-01,173.9
Alabama,AL,State,traditional,purchase-only,quarterly,2005,3,2005-09-01,177.63
Alabama,AL,State,traditional,purchase-only,quarterly,2005,4,2005-12-01,182.52
Alabama,AL,State,traditional,purchase-only,quarterly,2006,1,2006-03-01,187.19
Alabama,AL,State,traditional,purchase-only,quarterly,2006,2,2006-06-01,190.48
Alabama,AL,State,traditional,purchase-only,quarterly,2006,3,2006-09-01,193.19
Alabama,AL,State,traditional,purchase-only,quarterly,2006,4,2006-12-01,195.8
Alabama,AL,State,traditional,purchase-only,quarterly,2007,1,2007-03-01,198.31
Alabama,AL,State,traditional,purchase-only,quarterly,2007,2,2007-06-01,200.43
Alabama,AL,State,traditional,purchase-only,quarterly,2007,3,2007-09-01,199.96
Alabama,AL,State,traditional,purchase-only,quarterly,2007,4,2007-12-01,200.22
Alabama,AL,State,traditional,purchase-only,quarterly,2008,1,2008-03-01,198.48
Alabama,AL,State,traditional,purchase-only,quarterly,2008,2,2008-06-01,196.53
Alabama,AL,State,traditional,purchase-only,quarterly,2008,3,2008-09-01,193.61
Alabama,AL,State,traditional,purchase-only,quarterly,2008,4,2008-12-01,190.97
Alabama,AL,State,traditional,purchase-only,quarterly,2009,1,2009-03-01,191.39
Alabama,AL,State,traditional,purchase-only,quarterly,2009,2,2009-06-01,190.72
Alabama,AL,State,traditional,purchase-only,quarterly,2009,3,2009-09-01,185.46
Alabama,AL,State,traditional,purchase-only,quarterly,2009,4,2009-12-01,191.83
Alabama,AL,State,traditional,purchase-only,quarterly,2010,1,2010-03-01,184.14
Alabama,AL,State,traditional,purchase-only,quarterly,2010,2,2010-06-01,180.8
Alabama,AL,State,traditional,purchase-only,quarterly,2010,3,2010-09-01,179.06
Alabama,AL,State,traditional,purchase-only,quarterly,2010,4,2010-12-01,174.93
