place_name,place_id,level,hpi_type,hpi_flavor,frequency,yr,period,date,index_sa
Hawaii,HI,State,traditional,purchase-only,quarterly,2000,1,2000-03-01,90.82
Hawaii,HI,State,traditional,purchase-only,quarterly,2000,2,2000-06-01,89.95
Hawaii,HI,State,traditional,purchase-only,quarterly,2000,3,2000-09-01,89.89
Hawaii,HI,State,traditional,purchase-only,quarterly,2000,4,2000-12-01,93.01
Hawaii,HI,State,traditional,purchase-only,quarterly,2001,1,2001-03-01,96.06
Hawaii,HI,State,traditional,purchase-only,quarterly,2001,2,2001-06-01,98.35
Hawaii,HI,State,traditional,purchase-only,quarterly,2001,3,2001-09-01,99.45
Hawaii,HI,State,traditional,purchase-only,quarterly,2001,4,2001-12-01,102.08
Hawaii,HI,State,traditional,purchase-only,quarterly,2002,1,2002-03-01,103.5
Hawaii,HI,State,traditional,purchase-only,quarterly,2002,2,2002-06-01,107.65
Hawaii,HI,State,traditional,purchase-only,quarterly,2002,3,2002-09-01,111.7
Hawaii,HI,State,traditional,purchase-only,quarterly,2002,4,2002-12-01,114.61
Hawaii,HI,State,traditional,purchase-only,quarterly,2003,1,2003-03-01,117.48
Hawaii,HI,State,traditional,purchase-only,quarterly,2003,2,2003-06-01,120.85
Hawaii,HI,State,traditional,purchase-only,quarterly,2003,3,2003-09-01,129.64
Hawaii,HI,State,traditional,purchase-only,quarterly,2003,4,2003-12-01,138.61
Hawaii,HI,State,traditional,purchase-only,quarterly,2004,1,2004-03-01,141.8
Hawaii,HI,State,traditional,purchase-only,quarterly,2004,2,2004-06-01,152.73
Hawaii,HI,State,traditional,purchase-only,quarterly,2004,3,2004-09-01,165.73
Hawaii,HI,State,traditional,purchase-only,quarterly,2004,4,2004-12-01,169.96
Hawaii,HI,State,traditional,purchase-only,quarterly,2005,1,2005-03-01,179.54
Hawaii,HI,State,traditional,purchase-only,quarterly,2005,2,2005-06-01,194.94
Hawaii,HI,State,traditional,purchase-only,quarterly,2005,3,2005-09-01,203.59
Hawaii,HI,State,traditional,purchase-only,quarterly,2005,4,2005-12-01,205.28
Hawaii,HI,State,traditional,purchase-only,quarterly,2006,1,2006-03-01,215.39
Hawaii,HI,State,traditional,purchase-only,quarterly,2006,2,2006-06-01,212.91
Hawaii,HI,State,traditional,purchase-only,quarterly,2006,3,2006-09-01,212.4
Hawaii,HI,State,traditional,purchase-only,quarterly,2006,4,2006-12-01,214.53
Hawaii,HI,State,traditional,purchase-only,quarterly,2007,1,2007-03-01,218.79
Hawaii,HI,State,traditional,purchase-only,quarterly,2007,2,2007-06-01,216.04
Hawaii,HI,State,traditional,purchase-only,quarterly,2007,3,2007-09-01,212.88
Hawaii,HI,State,traditional,purchase-only,quarterly,2007,4,2007-12-01,208.85
Hawaii,HI,State,traditional,purchase-only,quarterly,2008,1,2008-03-01,207.96
Hawaii,HI,State,traditional,purchase-only,quarterly,2008,2,2008-06-01,205.75
Hawaii,HI,State,traditional,purchase-only,quarterly,2008,3,2008-09-01,196.21
Hawaii,HI,State,traditional,purchase-only,quarterly,2008,4,2008-12-01,202.73
Hawaii,HI,State,traditional,purchase-only,quarterly,2009,1,2009-03-01,190.91
Hawaii,HI,State,traditional,purchase-only,quarterly,2009,2,2009-06-01,180.49
Hawaii,HI,State,traditional,purchase-only,quarterly,2009,3,2009-09-01,183.06
Hawaii,HI,State,traditional,purchase-only,quarterly,2009,4,2009-12-01,179.87
Hawaii,HI,State,traditional,purchase-only,quarterly,2010,1,2010-03-01,177.93
Hawaii,HI,State,traditional,purchase-only,quarterly,2010,2,2010-06-01,177.59
Hawaii,HI,State,traditional,purchase-only,quarterly,2010,3,2010-09-01,171.67
Hawaii,HI,State,traditional,purchase-only,quarterly,2010,4,2010-12-01,177.49
Hawaii,HI,State,traditional,purchase-only,quarterly,2011,1,2011-03-01,159.47
Hawaii,HI,State,traditional,purchase-only,quarterly,2011,2,2011-06-01,169.22
Hawaii,HI,State,traditional,purchase-only,quarterly,2011,3,2011-09-01,172.05
Hawaii,HI,State,traditional,purchase-only,quarterly,2011,4,2011-12-01,165.26
Hawaii,HI,State,traditional,purchase-only,quarterly,2012,1,2012-03-01,169.39
Hawaii,HI,State,traditional,purchase-only,quarterly,2012,2,2012-06-01,177.09
Hawaii,HI,State,traditional,purchase-only,quarterly,2012,3,2012-09-01,176.07
Hawaii,HI,State,traditional,purchase-only,quarterly,2012,4,2012-12-01,182.5
Hawaii,HI,State,traditional,purchase-only,quarterly,2013,1,2013-03-01,186.59
Hawaii,HI,State,traditional,purchase-only,quarterly,2013,2,2013-06-01,191.91
Hawaii,HI,State,traditional,purchase-only,quarterly,2013,3,2013-09-01,194.62
Hawaii,HI,State,traditional,purchase-only,quarterly,2013,4,2013-12-01,196.87
Hawaii,HI,State,traditional,purchase-only,quarterly,2014,1,2014-03-01,204.13
Hawaii,HI,State,traditional,purchase-only,quarterly,2014,2,2014-06-01,198.08
Hawaii,HI,State,traditional,purchase-only,quarterly,2014,3,2014-09-01,206.3
Hawaii,HI,State,traditional,purchase-only,quarterly,2014,4,2014-12-01,206.76
Hawaii,HI,State,traditional,purchase-only,quarterly,2015,1,2015-03-01,213.21
Hawaii,HI,State,traditional,purchase-only,quarterly,2015,2,2015-06-01,212.78
Hawaii,HI,State,traditional,purchase-only,quarterly,2015,3,2015-09-01,215.33
Hawaii,HI,State,traditional,purchase-only,quarterly,2015,4,2015-12-01,220.86
Hawaii,HI,State,traditional,purchase-only,quarterly,2016,1,2016-03-01,220.76
Hawaii,HI,State,traditional,purchase-only,quarterly,2016,2,2016-06-01,218.11
Hawaii,HI,State,traditional,purchase-only,quarterly,2016,3,2016-09-01,219.74
Hawaii,HI,State,traditional,purchase-only,quarterly,2016,4,2016-12-01,230.83
Hawaii,HI,State,traditional,purchase-only,quarterly,2017,1,2017-03-01,223.7
Hawaii,HI,State,traditional,purchase-only,quarterly,2017,2,2017-06-01,237.64
Hawaii,HI,State,traditional,purchase-only,quarterly,2017,3,2017-09-01,247.19
Hawaii,HI,State,traditional,purchase-only,quarterly,2017,4,2017-12-01,245.67
Hawaii,HI,State,traditional,purchase-only,quarterly,2018,1,2018-03-01,240.98
Hawaii,HI,State,traditional,purchase-only,quarterly,2018,2,2018-06-01,247.28
Hawaii,HI,State,traditional,purchase-only,quarterly,2018,3,2018-09-01,249.6
Hawaii,HI,State,traditional,purchase-only,quarterly,2018,4,2018-12-01,254.33
Hawaii,HI,State,traditional,purchase-only,quarterly,2019,1,2019-03-01,255.07
Hawaii,HI,State,traditional,purchase-only,quarterly,2019,2,2019-06-01,254.36
Hawaii,HI,State,traditional,purchase-only,quarterly,2019,3,2019-09-01,256.8
