place_name,place_id,level,hpi_type,hpi_flavor,frequency,yr,period,date,index_sa
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2000,1,2000-01-01,136.89
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2000,2,2000-02-01,136.76
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2000,3,2000-03-01,137.78
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2000,4,2000-04-01,138.74
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2000,5,2000-05-01,139.29
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2000,6,2000-06-01,140.24
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2000,7,2000-07-01,140.98
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2000,8,2000-08-01,141.54
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2000,9,2000-09-01,142.38
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2000,10,2000-10-01,143.19
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2000,11,2000-11-01,144.07
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2000,12,2000-12-01,144.94
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2001,1,2001-01-01,145.85
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2001,2,2001-02-01,146.85
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2001,3,2001-03-01,147.62
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2001,4,2001-04-01,148.49
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2001,5,2001-05-01,149.11
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2001,6,2001-06-01,149.83
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2001,7,2001-07-01,150.67
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2001,8,2001-08-01,151.4
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2001,9,2001-09-01,152.22
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2001,10,2001-10-01,153.11
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2001,11,2001-11-01,153.63
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2001,12,2001-12-01,154.59
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2002,1,2002-01-01,155.45
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2002,2,2002-02-01,156.39
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2002,3,2002-03-01,157.34
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2002,4,2002-04-01,158.2
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2002,5,2002-05-01,159.27
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2002,6,2002-06-01,160.24
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2002,7,2002-07-01,161.29
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2002,8,2002-08-01,162.29
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2002,9,2002-09-01,163.29
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2002,10,2002-10-01,164.47
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2002,11,2002-11-01,165.4
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2002,12,2002-12-01,166.59
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2003,1,2003-01-01,167.58
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2003,2,2003-02-01,168.67
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2003,3,2003-03-01,169.21
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2003,4,2003-04-01,170.25
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2003,5,2003-05-01,171.18
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2003,6,2003-06-01,171.94
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2003,7,2003-07-01,173.26
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2003,8,2003-08-01,174.53
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2003,9,2003-09-01,175.91
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2003,10,2003-10-01,176.96
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2003,11,2003-11-01,178.37
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2003,12,2003-12-01,179.8
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2004,1,2004-01-01,180.96
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2004,2,2004-02-01,182.4
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2004,3,2004-03-01,183.66
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2004,4,2004-04-01,185.19
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2004,5,2004-05-01,186.95
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2004,6,2004-06-01,188.88
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2004,7,2004-07-01,190.43
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2004,8,2004-08-01,191.79
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2004,9,2004-09-01,193.27
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2004,10,2004-10-01,194.7
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2004,11,2004-11-01,196.5
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2004,12,2004-12-01,198.2
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2005,1,2005-01-01,199.58
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2005,2,2005-02-01,201.11
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2005,3,2005-03-01,203.12
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2005,4,2005-04-01,204.9
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2005,5,2005-05-01,206.59
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2005,6,2005-06-01,208.37
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2005,7,2005-07-01,210.46
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2005,8,2005-08-01,212
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2005,9,2005-09-01,213.92
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2005,10,2005-10-01,215.15
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2005,11,2005-11-01,216.59
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2005,12,2005-12-01,217.85
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2006,1,2006-01-01,219.14
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2006,2,2006-02-01,219.63
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2006,3,2006-03-01,220.49
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2006,4,2006-04-01,220.88
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2006,5,2006-05-01,221.46
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2006,6,2006-06-01,221.39
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2006,7,2006-07-01,221.28
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2006,8,2006-08-01,221.84
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2006,9,2006-09-01,221.81
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2006,10,2006-10-01,222.06
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2006,11,2006-11-01,222.74
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2006,12,2006-12-01,222.76
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2007,1,2007-01-01,223.58
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2007,2,2007-02-01,223.67
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2007,3,2007-03-01,224.49
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2007,4,2007-04-01,224.54
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2007,5,2007-05-01,223.41
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2007,6,2007-06-01,222.56
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2007,7,2007-07-01,221.44
United States,USA,USA or Census Division,traditional,purchase-only,monthly,2007,8,2007-08-01,220.43
