"date","house_price","rent_cost","wage_income","mortgage_rate","home_aff","rent_aff","period","home_aff_high","rent_aff_high","year"
2000-01-01,136.89,181.1,2119.58333333333,8.21,0.0645834480047179,0.0854413210143503,"2000-2007",0,1,2000
2000-02-01,136.76,181.5,2132.83333333333,8.325,0.0641212784246308,0.0850980698601235,"2000-2007",0,1,2000
2000-03-01,137.78,182,2145.91666666667,8.24,0.0642056619160421,0.0848122403013475,"2000-2007",0,1,2000
2000-04-01,138.74,182.3,2153.16666666667,8.1525,0.0644353278117501,0.0846659958201099,"2000-2007",0,1,2000
2000-05-01,139.29,182.7,2162.08333333333,8.515,0.0644239737907111,0.0845018307959144,"2000-2007",0,1,2000
2000-06-01,140.24,183.2,2173.58333333333,8.288,0.0645201855614768,0.0842847831921175,"2000-2007",0,1,2000
2000-07-01,140.98,183.9,2188.75,8.1475,0.064411193603655,0.0840205596801828,"2000-2007",0,1,2000
2000-08-01,141.54,184.6,2200.16666666667,8.0275,0.0643314900386334,0.083902734641315,"2000-2007",0,1,2000
2000-09-01,142.38,185.3,2210.16666666667,7.912,0.0644204811100219,0.0838398310836287,"2000-2007",0,1,2000
2000-10-01,143.19,186.1,2217.58333333333,7.795,0.0645702904813799,0.0839201833828116,"2000-2007",0,1,2000
2000-11-01,144.07,186.8,2219.75,7.745,0.0649037053722266,0.0841536209032549,"2000-2007",0,1,2000
2000-12-01,144.94,187.6,2226,7.382,0.0651123090745732,0.0842767295597484,"2000-2007",0,1,2000
2001-01-01,145.85,188.2,2245.5,7.0325,0.0649521264751726,0.0838120685816077,"2000-2007",0,1,2001
2001-02-01,146.85,188.9,2250,7.05,0.0652666666666667,0.0839555555555556,"2000-2007",0,1,2001
2001-03-01,147.62,189.6,2255.33333333333,6.952,0.0654537392846586,0.0840673958025421,"2000-2007",0,1,2001
2001-04-01,148.49,190.2,2252.83333333333,7.0775,0.0659125545609233,0.0844270178294,"2000-2007",0,1,2001
2001-05-01,149.11,191,2252.83333333333,7.145,0.0661877635570023,0.0847821262114375,"2000-2007",1,1,2001
2001-06-01,149.83,191.6,2255.66666666667,7.16,0.0664238214866263,0.0849416284912073,"2000-2007",1,1,2001
2001-07-01,150.67,192.3,2286.58333333333,7.1275,0.0658930719049528,0.0840992747549109,"2000-2007",0,1,2001
2001-08-01,151.4,193.1,2322.16666666667,6.95,0.065197732003158,0.083155099404292,"2000-2007",0,1,2001
2001-09-01,152.22,193.9,2292.41666666667,6.8175,0.0664015413137519,0.0845832273074267,"2000-2007",1,1,2001
2001-10-01,153.11,194.7,2257.83333333333,6.6175,0.0678127998818927,0.0862331143426589,"2000-2007",1,1,2001
2001-11-01,153.63,195.5,2257.16666666667,6.658,0.068063206084324,0.0866130104112826,"2000-2007",1,1,2001
2001-12-01,154.59,196.4,2257.25,7.065,0.0684859895891018,0.0870085280761989,"2000-2007",1,1,2001
2002-01-01,155.45,197,2305,6.9975,0.0674403470715835,0.0854663774403471,"2000-2007",1,1,2002
2002-02-01,156.39,197.7,2311,6.8925,0.0676720034617049,0.0855473820856772,"2000-2007",1,1,2002
2002-03-01,157.34,198.2,2317.33333333333,7.014,0.0678970080552359,0.0855293440736479,"2000-2007",1,1,2002
2002-04-01,158.2,198.5,2333,6.985,0.0678096870981569,0.0850835833690527,"2000-2007",1,1,2002
2002-05-01,159.27,198.8,2342,6.806,0.0680059777967549,0.0848847139197267,"2000-2007",1,1,2002
2002-06-01,160.24,199.3,2350,6.65,0.0681872340425532,0.0848085106382979,"2000-2007",1,1,2002
2002-07-01,161.29,199.8,2347.16666666667,6.485,0.0687168927075197,0.0851239082581836,"2000-2007",1,1,2002
2002-08-01,162.29,200.2,2350.16666666667,6.29,0.0690546769732643,0.0851854478405787,"2000-2007",1,1,2002
2002-09-01,163.29,200.7,2354.66666666667,6.0925,0.0693473952434881,0.0852349943374858,"2000-2007",1,1,2002
2002-10-01,164.47,201.3,2363.25,6.1125,0.0695948376176875,0.0851793081561409,"2000-2007",1,1,2002
2002-11-01,165.4,202,2370.33333333333,6.068,0.0697792153002391,0.0852200815637744,"2000-2007",1,1,2002
2002-12-01,166.59,202.5,2377.33333333333,6.0475,0.0700743129556926,0.085179472798654,"2000-2007",1,1,2002
2003-01-01,167.58,203.3,2380.66666666667,5.916,0.0703920470456455,0.085396247549706,"2000-2007",1,1,2003
2003-02-01,168.67,203.7,2381,5.8425,0.070839983200336,0.0855522889542209,"2000-2007",1,1,2003
2003-03-01,169.21,204.1,2390.5,5.745,0.0707843547375026,0.0853796276929513,"2000-2007",1,1,2003
2003-04-01,170.25,204.5,2397.16666666667,5.8125,0.0710213446429813,0.0853090454008204,"2000-2007",1,1,2003
2003-05-01,171.18,204.9,2410.25,5.484,0.0710216782491443,0.0850119282232134,"2000-2007",1,1,2003
2003-06-01,171.94,205.1,2417.25,5.23,0.0711304167959458,0.0848484848484848,"2000-2007",1,1,2003
2003-07-01,173.26,205.6,2451.41666666667,5.6325,0.0706774994051059,0.083869871162933,"2000-2007",1,1,2003
2003-08-01,174.53,206.1,2474.5,6.264,0.0705314204889877,0.0832895534451404,"2000-2007",1,1,2003
2003-09-01,175.91,206.6,2451.91666666667,6.1475,0.071743873840193,0.0842606124460456,"2000-2007",1,1,2003
2003-10-01,176.96,206.9,2459.5,5.952,0.0719495832486278,0.0841227891847937,"2000-2007",1,1,2003
2003-11-01,178.37,207.5,2475.58333333333,5.9325,0.072051704985357,0.0838186286060524,"2000-2007",1,1,2003
2003-12-01,179.8,207.9,2481.41666666667,5.876,0.0724586089935185,0.0837827853712597,"2000-2007",1,1,2003
2004-01-01,180.96,208.3,2488.08333333333,5.7125,0.0727306829219279,0.0837190608567505,"2000-2007",1,1,2004
2004-02-01,182.4,208.8,2496.25,5.635,0.0730696044066099,0.0836454682023035,"2000-2007",1,1,2004
